"Country or territory of asylum or residence","Country or territory of origin","Year","Refugees","Refugees assisted by UNHCR","Total refugees and people in refugee-like situations","Total refugees and people in refugee-like situations assisted by UNHCR"
"United Kingdom","Bulgaria","2003","12","","12",""
"United Kingdom","Burkina Faso","2003","3","","3",""
"United Kingdom","Burundi","2003","1476","","1476",""
"United Kingdom","Cameroon","2003","241","","241",""
"United Kingdom","Chad","2003","10","","10",""
"United Kingdom","China","2003","1650","","1650",""
"United Kingdom","Colombia","2003","1317","","1317",""
"United Kingdom","Congo","2003","734","","734",""
"United Kingdom","Côte d'Ivoire","2003","678","","678",""
"United Kingdom","Croatia","2003","53","","53",""
"United Kingdom","Cuba","2003","2","","2",""
"United Kingdom","Czech Rep.","2003","115","","115",""
"United Kingdom","Dem. Rep. of the Congo","2003","5376","","5376",""
"United Kingdom","Ecuador","2003","337","","337",""
"United Kingdom","Egypt","2003","14","","14",""
"United Kingdom","Equatorial Guinea","2003","7","","7",""
"United Kingdom","Eritrea","2003","1748","","1748",""
"United Kingdom","Estonia","2003","1","","1",""
"United Kingdom","Ethiopia","2003","2228","","2228",""
"United Kingdom","Gambia","2003","188","","188",""
"United Kingdom","Georgia","2003","18","","18",""
"United Kingdom","Ghana","2003","1897","","1897",""
"United Kingdom","Guinea","2003","50","","50",""
"United Kingdom","Guyana","2003","1","","1",""
"United Kingdom","India","2003","851","","851",""
"United Kingdom","Indonesia","2003","1","","1",""
"United Kingdom","Iraq","2003","23421","","23421",""
"United Kingdom","Islamic Rep. of Iran","2003","6892","","6892",""
"United Kingdom","Jamaica","2003","174","","174",""
"United Kingdom","Kenya","2003","1486","","1486",""
"United Kingdom","Kuwait","2003","13","","13",""
"United Kingdom","Kyrgyzstan","2003","4","","4",""
"United Kingdom","Latvia","2003","1","","1",""
"United Kingdom","Lebanon","2003","229","","229",""
"United Kingdom","Liberia","2003","367","","367",""
"United Kingdom","Libya","2003","48","","48",""
"United Kingdom","Lithuania","2003","7","","7",""
"United Kingdom","Malawi","2003","3","","3",""
"United Kingdom","Mali","2003","1","","1",""
"United Kingdom","Mongolia","2003","9","","9",""
"United Kingdom","Morocco","2003","5","","5",""
"United Kingdom","Myanmar","2003","40","","40",""
"United Kingdom","Nepal","2003","166","","166",""
"United Kingdom","Niger","2003","3","","3",""
"United Kingdom","Nigeria","2003","1932","","1932",""
"United Kingdom","Pakistan","2003","3074","","3074",""
"United Kingdom","Panama","2003","2","","2",""
"United Kingdom","Peru","2003","2","","2",""
"United Kingdom","Philippines","2003","1","","1",""
"United Kingdom","Poland","2003","177","","177",""
"United Kingdom","Rep. of Korea","2003","1","","1",""
"United Kingdom","Rep. of Moldova","2003","95","","95",""
"United Kingdom","Romania","2003","428","","428",""
"United Kingdom","Russian Federation","2003","1546","","1546",""
"United Kingdom","Rwanda","2003","1872","","1872",""
"United Kingdom","Serbia (and Kosovo: S/RES/1244 (1999))","2003","21301","","21301",""
"United Kingdom","Sierra Leone","2003","4014","","4014",""
"United Kingdom","Slovakia","2003","1","","1",""
"United Kingdom","Somalia","2003","36106","","36106",""
"United Kingdom","South Africa","2003","15","","15",""
"United Kingdom","Sri Lanka","2003","7993","","7993",""
"United Kingdom","State of Palestine","2003","51","","51",""
"United Kingdom","Stateless","2003","26","","26",""
"United Kingdom","Sudan","2003","1852","","1852",""
"United Kingdom","Syrian Arab Rep.","2003","16","","16",""
"United Kingdom","The former Yugoslav Rep. of Macedonia","2003","402","","402",""
"United Kingdom","Togo","2003","47","","47",""
"United Kingdom","Tunisia","2003","6","","6",""
"United Kingdom","Turkey","2003","7717","","7717",""
"United Kingdom","Turkmenistan","2003","5","","5",""
"United Kingdom","Uganda","2003","1624","","1624",""
"United Kingdom","Ukraine","2003","426","","426",""
"United Kingdom","United Rep. of Tanzania","2003","291","","291",""
"United Kingdom","Uzbekistan","2003","4","","4",""
"United Kingdom","Various","2003","97714","","97714",""
"United Kingdom","Viet Nam","2003","264","","264",""
"United Kingdom","Yemen","2003","33","","33",""
"United Kingdom","Zambia","2003","6","","6",""
"United Kingdom","Zimbabwe","2003","5754","","5754",""
"United Rep. of Tanzania","Burundi","2003","494209","324209","494209","324209"
"United Rep. of Tanzania","Dem. Rep. of the Congo","2003","150160","150160","150160","150160"
"United Rep. of Tanzania","Rwanda","2003","24","24","24","24"
"United Rep. of Tanzania","Somalia","2003","3330","3330","3330","3330"
"United Rep. of Tanzania","Various","2003","2047","2047","2047","2047"
"United States","Afghanistan","2003","9601","","9601",""
"United States","Albania","2003","3952","","3952",""
"United States","Algeria","2003","557","","557",""
"United States","Andorra","2003","2","","2",""
"United States","Angola","2003","208","","208",""
"United States","Argentina","2003","73","","73",""
"United States","Armenia","2003","4537","","4537",""
"United States","Australia","2003","1","","1",""
"United States","Azerbaijan","2003","2312","","2312",""
"United States","Bahrain","2003","12","","12",""
"United States","Bangladesh","2003","975","","975",""
"United States","Belarus","2003","3965","","3965",""
"United States","Belgium","2003","5","","5",""
"United States","Belize","2003","9","","9",""
"United States","Benin","2003","15","","15",""
"United States","Bhutan","2003","39","","39",""
"United States","Bolivia (Plurinational State of)","2003","28","","28",""
"United States","Bosnia and Herzegovina","2003","61834","","61834",""
"United States","Brazil","2003","158","","158",""
"United States","Bulgaria","2003","507","","507",""
"United States","Burkina Faso","2003","33","","33",""
"United States","Burundi","2003","839","","839",""
"United States","Cambodia","2003","334","","334",""
"United States","Cameroon","2003","2962","","2962",""
"United States","Canada","2003","13","","13",""
"United States","Central African Rep.","2003","65","","65",""
"United States","Chad","2003","86","","86",""
"United States","Chile","2003","29","","29",""
"United States","China","2003","21300","","21300",""
"United States","Colombia","2003","11590","","11590",""
"United States","Comoros","2003","3","","3",""
"United States","Congo","2003","1622","","1622",""
"United States","Costa Rica","2003","1","","1",""
"United States","Côte d'Ivoire","2003","272","","272",""
"United States","Croatia","2003","6296","","6296",""
"United States","Cuba","2003","11279","","11279",""
"United States","Czech Rep.","2003","12","","12",""
"United States","Dem. People's Rep. of Korea","2003","7","","7",""
"United States","Dem. Rep. of the Congo","2003","2922","","2922",""
"United States","Denmark","2003","3","","3",""
"United States","Djibouti","2003","9","","9",""
"United States","Dominican Rep.","2003","13","","13",""
"United States","Ecuador","2003","55","","55",""
"United States","Egypt","2003","2465","","2465",""
"United States","El Salvador","2003","1111","","1111",""
"United States","Equatorial Guinea","2003","2","","2",""
"United States","Eritrea","2003","1246","","1246",""
"United States","Estonia","2003","295","","295",""
"United States","Ethiopia","2003","12835","","12835",""
"United States","Fiji","2003","762","","762",""
"United States","Finland","2003","1","","1",""
"United States","France","2003","12","","12",""
"United States","Gabon","2003","7","","7",""
"United States","Gambia","2003","242","","242",""
"United States","Georgia","2003","770","","770",""
"United States","Germany","2003","28","","28",""
"United States","Ghana","2003","109","","109",""
"United States","Greece","2003","7","","7",""
"United States","Grenada","2003","1","","1",""
"United States","Guatemala","2003","1921","","1921",""
"United States","Guinea","2003","958","","958",""
"United States","Guinea-Bissau","2003","7","","7",""
"United States","Guyana","2003","26","","26",""
"United States","Haiti","2003","5389","","5389",""
"United States","Honduras","2003","225","","225",""
"United States","Hong Kong SAR, China","2003","6","","6",""
"United States","Hungary","2003","21","","21",""
"United States","Iceland","2003","1","","1",""
"United States","India","2003","5659","","5659",""
"United States","Indonesia","2003","4285","","4285",""
"United States","Iraq","2003","10523","","10523",""
"United States","Islamic Rep. of Iran","2003","21185","","21185",""
"United States","Israel","2003","61","","61",""
"United States","Italy","2003","5","","5",""
"United States","Jamaica","2003","14","","14",""
"United States","Japan","2003","3","","3",""
"United States","Jordan","2003","209","","209",""
"United States","Kazakhstan","2003","1544","","1544",""
"United States","Kenya","2003","808","","808",""
"United States","Kuwait","2003","55","","55",""
"United States","Kyrgyzstan","2003","593","","593",""
"United States","Lao People's Dem. Rep.","2003","229","","229",""
"United States","Latvia","2003","539","","539",""
"United States","Lebanon","2003","349","","349",""
"United States","Lesotho","2003","1","","1",""
"United States","Liberia","2003","15484","","15484",""
"United States","Libya","2003","33","","33",""
"United States","Lithuania","2003","121","","121",""
"United States","Madagascar","2003","10","","10",""
"United States","Malawi","2003","10","","10",""
"United States","Malaysia","2003","79","","79",""
"United States","Mali","2003","55","","55",""
"United States","Malta","2003","1","","1",""
"United States","Mauritania","2003","1415","","1415",""
"United States","Mauritius","2003","1","","1",""
"United States","Mexico","2003","439","","439",""
"United States","Mongolia","2003","27","","27",""
"United States","Morocco","2003","33","","33",""
"United States","Mozambique","2003","1","","1",""
"United States","Myanmar","2003","4789","","4789",""
"United States","Nauru","2003","3","","3",""
"United States","Nepal","2003","429","","429",""
"United States","Netherlands","2003","1","","1",""
"United States","Nicaragua","2003","120","","120",""
"United States","Niger","2003","210","","210",""
"United States","Nigeria","2003","1446","","1446",""
"United States","Norway","2003","1","","1",""
"United States","Oman","2003","5","","5",""
"United States","Pakistan","2003","2212","","2212",""
"United States","Panama","2003","11","","11",""
"United States","Paraguay","2003","9","","9",""
"United States","Peru","2003","1463","","1463",""
"United States","Philippines","2003","194","","194",""
"United States","Poland","2003","32","","32",""
"United States","Portugal","2003","1","","1",""
"United States","Qatar","2003","4","","4",""
"United States","Rep. of Korea","2003","5","","5",""
"United States","Rep. of Moldova","2003","4799","","4799",""
"United States","Romania","2003","579","","579",""
"United States","Russian Federation","2003","18964","","18964",""
"United States","Rwanda","2003","1068","","1068",""
"United States","Saint Kitts and Nevis","2003","1","","1",""
"United States","Saint Lucia","2003","5","","5",""
"United States","San Marino","2003","1","","1",""
"United States","Saudi Arabia","2003","22","","22",""
"United States","Senegal","2003","114","","114",""
"United States","Serbia (and Kosovo: S/RES/1244 (1999))","2003","16846","","16846",""
"United States","Seychelles","2003","26","","26",""
"United States","Sierra Leone","2003","6570","","6570",""
"United States","Singapore","2003","16","","16",""
"United States","Slovakia","2003","18","","18",""
"United States","Slovenia","2003","10","","10",""
"United States","Somalia","2003","25421","","25421",""
"United States","South Africa","2003","53","","53",""
"United States","Spain","2003","2","","2",""
"United States","Sri Lanka","2003","1036","","1036",""
"United States","State of Palestine","2003","1","","1",""
"United States","Stateless","2003","373","","373",""
"United States","Sudan","2003","17309","","17309",""
"United States","Suriname","2003","29","","29",""
"United States","Swaziland","2003","1","","1",""
"United States","Sweden","2003","4","","4",""
"United States","Syrian Arab Rep.","2003","182","","182",""
"United States","Tajikistan","2003","84","","84",""
"United States","Thailand","2003","7","","7",""
"United States","The former Yugoslav Rep. of Macedonia","2003","146","","146",""
"United States","Togo","2003","1790","","1790",""
"United States","Trinidad and Tobago","2003","12","","12",""
"United States","Tunisia","2003","18","","18",""
"United States","Turkey","2003","279","","279",""
"United States","Turkmenistan","2003","95","","95",""
"United States","Uganda","2003","749","","749",""
"United States","Ukraine","2003","33724","","33724",""
"United States","United Arab Emirates","2003","1","","1",""
"United States","United Kingdom","2003","64","","64",""
"United States","United Rep. of Tanzania","2003","51","","51",""
"United States","Uruguay","2003","4","","4",""
"United States","Uzbekistan","2003","3260","","3260",""
"United States","Various","2003","45077","","45077",""
"United States","Venezuela (Bolivarian Republic of)","2003","318","","318",""
"United States","Viet Nam","2003","21250","","21250",""
"United States","Yemen","2003","172","","172",""
"United States","Zambia","2003","39","","39",""
"United States","Zimbabwe","2003","270","","270",""
"Uruguay","Belarus","2003","1","","1",""
"Uruguay","Cameroon","2003","3","3","3","3"
"Uruguay","Chile","2003","1","1","1","1"
"Uruguay","Colombia","2003","21","19","21","19"
"Uruguay","Côte d'Ivoire","2003","2","2","2","2"
"Uruguay","Cuba","2003","6","4","6","4"
"Uruguay","Georgia","2003","1","","1",""
"Uruguay","Ghana","2003","1","1","1","1"
"Uruguay","Latvia","2003","5","1","5","1"
"Uruguay","Lithuania","2003","1","1","1","1"
"Uruguay","Madagascar","2003","1","","1",""
"Uruguay","Nigeria","2003","1","1","1","1"
"Uruguay","Peru","2003","6","6","6","6"
"Uruguay","Russian Federation","2003","11","4","11","4"
"Uruguay","Sierra Leone","2003","1","1","1","1"
"Uruguay","Somalia","2003","3","3","3","3"
"Uruguay","Sudan","2003","1","1","1","1"
"Uruguay","Ukraine","2003","12","","12",""
"Uruguay","Various","2003","13","12","13","12"
"Uzbekistan","Afghanistan","2003","5470","2502","5470","2502"
"Uzbekistan","Azerbaijan","2003","6","6","6","6"
"Uzbekistan","Ethiopia","2003","3","3","3","3"
"Uzbekistan","State of Palestine","2003","1","1","1","1"
"Uzbekistan","Tajikistan","2003","39202","","39202",""
"Venezuela (Bolivarian Republic of)","China","2003","5","","5",""
"Venezuela (Bolivarian Republic of)","Colombia","2003","21","","21",""
"Venezuela (Bolivarian Republic of)","Cuba","2003","5","","5",""
"Venezuela (Bolivarian Republic of)","Guatemala","2003","3","","3",""
"Venezuela (Bolivarian Republic of)","Haiti","2003","6","","6",""
"Venezuela (Bolivarian Republic of)","Hungary","2003","1","1","1","1"
"Venezuela (Bolivarian Republic of)","Nicaragua","2003","4","","4",""
"Venezuela (Bolivarian Republic of)","Peru","2003","4","","4",""
"Venezuela (Bolivarian Republic of)","Poland","2003","3","2","3","2"
"Venezuela (Bolivarian Republic of)","Serbia (and Kosovo: S/RES/1244 (1999))","2003","5","2","5","2"
"Venezuela (Bolivarian Republic of)","Stateless","2003","1","","1",""
"Viet Nam","Cambodia","2003","15360","","15360",""
"Yemen","Algeria","2003","5","5","5","5"
"Yemen","Angola","2003","2","2","2","2"
"Yemen","Burundi","2003","3","3","3","3"
"Yemen","Eritrea","2003","86","86","86","86"
"Yemen","Ethiopia","2003","1795","1795","1795","1795"
"Yemen","Iraq","2003","225","225","225","225"
"Yemen","Jordan","2003","1","1","1","1"
"Yemen","Libya","2003","1","1","1","1"
"Yemen","Somalia","2003","59246","59246","59246","59246"
"Yemen","State of Palestine","2003","410","410","410","410"
"Yemen","Stateless","2003","1","1","1","1"
"Yemen","Sudan","2003","63","63","63","63"
"Yemen","Syrian Arab Rep.","2003","14","14","14","14"
"Yemen","Uganda","2003","1","1","1","1"
"Yemen","Uzbekistan","2003","1","1","1","1"
"Yemen","Viet Nam","2003","27","27","27","27"
"Zambia","Angola","2003","158894","71894","158894","71894"
"Zambia","Burundi","2003","2059","1743","2059","1743"
"Zambia","Dem. Rep. of the Congo","2003","58405","54405","58405","54405"
"Zambia","Rwanda","2003","5767","4827","5767","4827"
"Zambia","Somalia","2003","987","987","987","987"
"Zambia","Various","2003","585","514","585","514"
"Zimbabwe","Afghanistan","2003","82","82","82","82"
"Zimbabwe","Angola","2003","506","506","506","506"
"Zimbabwe","Armenia","2003","1","1","1","1"
"Zimbabwe","Bangladesh","2003","7","7","7","7"
"Zimbabwe","Bosnia and Herzegovina","2003","5","5","5","5"
"Zimbabwe","Burundi","2003","1484","1484","1484","1484"
"Zimbabwe","Cameroon","2003","8","8","8","8"
"Zimbabwe","Congo","2003","6","6","6","6"
"Zimbabwe","Côte d'Ivoire","2003","7","7","7","7"
"Zimbabwe","Dem. Rep. of the Congo","2003","6122","6122","6122","6122"
"Zimbabwe","Eritrea","2003","52","52","52","52"
"Zimbabwe","Ethiopia","2003","222","222","222","222"
"Zimbabwe","Ghana","2003","6","6","6","6"
"Zimbabwe","Kenya","2003","7","7","7","7"
"Zimbabwe","Liberia","2003","170","170","170","170"
"Zimbabwe","Mauritius","2003","47","47","47","47"
"Zimbabwe","Pakistan","2003","7","7","7","7"
"Zimbabwe","Rwanda","2003","3591","3591","3591","3591"
"Zimbabwe","Serbia (and Kosovo: S/RES/1244 (1999))","2003","13","13","13","13"
"Zimbabwe","Sierra Leone","2003","50","50","50","50"
"Zimbabwe","Somalia","2003","143","143","143","143"
"Zimbabwe","Sudan","2003","123","123","123","123"
"Zimbabwe","Togo","2003","4","4","4","4"
"Zimbabwe","Uganda","2003","47","47","47","47"
"Zimbabwe","United Rep. of Tanzania","2003","11","11","11","11"
